,Teammate_delta,Lap_stdev,Avg_Q,Avg_R,DNFRate,Season,Round,Synergy
0,-0.05553333333332944,0.6784079829308823,2.0,1.0,0,2021,1,-2.9065453077296644
2,-0.12414839901477137,0.77485593005487,2.0,1.0,0,2021,3,-2.913987097052762
3,-0.5139482758620915,1.0564963612826634,1.0,1.0,0,2021,4,-2.0568479901998122
4,-0.18267612524462606,1.0690855069435607,7.0,7.0,0,2021,5,-11.73827600992609
5,-1.7584474358974092,1.3834658384094214,2.0,15.0,0,2021,6,-14.558303885819313
6,-0.21865999999998564,0.6946181261848045,2.0,2.0,0,2021,7,-3.6046071892772353
7,-0.4495111408199506,0.6435210238667478,2.0,2.0,0,2021,8,-3.0662592541602205
8,0.1288106060605969,0.5092171395761284,4.0,4.0,0,2021,9,-7.021446921485387
9,-0.45991304347823814,1.0962792311528142,2.0,1.0,0,2021,10,-2.724592759772745
10,0.0,1.843206639931166,1.0,2.0,0,2021,11,-5.264809959896748
11,0.0,0.0,3.0,3.0,0,2021,12,-4.5
12,-0.6775129735935508,0.8630066065127292,2.0,2.0,0,2021,13,-2.939483962581992
13,0.2428339920948872,0.414503792430653,4.0,17.0,1,2021,14,-23.107423672835754
14,-1.3349791666666846,4.136681578062317,4.0,1.0,0,2021,15,-6.535064033760107
15,0.661690909090936,1.0737280650033123,11.0,5.0,0,2021,16,-13.43397391568684
16,-1.4042799999999858,1.0211192130926432,2.0,2.0,0,2021,17,-1.7231188196389933
17,-1.69134132985657,0.677291183402962,2.0,2.0,0,2021,18,-0.6332541153913027
18,-0.39236842105262326,0.9413361444468731,10.0,1.0,0,2021,19,-6.627267374565063
19,-1.882390929705224,1.0937051180295718,1.0,1.0,0,2021,20,0.6242241823660901
20,-2.346354838709658,1.408966611324753,1.0,1.0,0,2021,21,1.0792597604321865
21,-1.3730832562442288,1.1257432968478114,2.0,2.0,0,2021,22,-1.9424484327832596
22,-0.36002173913044544,1.174341865975074,5.0,3.0,0,2022,2,-6.5414693207017205
23,0.7817158536585254,1.5691040649576635,15.0,10.0,0,2022,3,-21.417087804753546
24,-0.012733580018490898,1.3765357764916073,5.0,4.0,0,2022,4,-8.53933650470043
