Driver,Season,Teammate_delta,Lap_stdev,Avg_Q,Avg_R,DNFRate,SynergyScore
Max Verstappen,2021,-0.6303702953867745,1.2429127530912476,2.8181818181818183,4.136363636363637,9.090909090909092,-17.65799700315902
Lewis Hamilton,2021,-1.1328787151526236,1.3268241172134108,2.136363636363636,3.409090909090909,4.545454545454546,-12.489399947515333
Valtteri Bottas,2021,1.1328787151526236,1.9396938642079755,3.772727272727273,7.409090909090909,9.090909090909092,-28.095299852087873
Sergio Perez,2021,0.6303702953867745,1.551730863676239,0.0,7.545454545454546,9.090909090909092,-21.818464795426653
Carlos Sainz,2021,0.2449307854703575,2.171358199587917,8.136363636363637,6.5,0.0,-27.62083443960373
Lando Norris,2021,-0.3689912189886549,1.9387643352791195,6.590909090909091,7.0,4.545454545454546,-27.728864025381377
Charles Leclerc,2021,-0.2449307854703575,1.9231671689472023,6.636363636363637,7.727272727272727,4.545454545454546,-29.360054565295027
Daniel Ricciardo,2021,0.3689912189886549,1.6828847141804129,9.636363636363637,8.590909090909092,0.0,-33.688239569532705
Pierre Gasly,2021,-0.4413937659990555,,6.818181818181818,9.363636363636363,9.090909090909092,
Fernando Alonso,2021,-0.0781469056798933,2.414895661213111,11.0,9.909090909090908,0.0,-38.654930573715035
Esteban Ocon,2021,0.0781469056798933,,11.0,10.590909090909092,9.090909090909092,
Sebastian Vettel,2021,-0.1006282433156613,1.8890911102955847,11.772727272727272,12.045454545454543,13.636363636363637,-50.35664468516173
Lance Stroll,2021,0.1006282433156613,2.403627961979304,13.5,11.954545454545457,9.090909090909092,-51.208801659840425
Yuki Tsunoda,2021,0.4413937659990555,2.181558419134742,12.818181818181818,13.181818181818182,4.545454545454546,-50.486588548770165
George Russell,2021,0.0034696236257204,1.718474332408154,12.636363636363637,13.909090909090908,9.090909090909092,-53.040125774215696
Kimi Raikkonen,2021,0.0,0.0,0.0,0.0,0.0,-0.0
Nicholas Latifi,2021,-0.0034696236257204,1.670624127410204,16.40909090909091,15.545454545454543,9.090909090909092,-61.91715450378449
Antonio Giovinazzi,2021,-0.0080030658879117,2.275127473241452,14.045454545454543,13.090909090909092,0.0,-49.517124407353535
Mick Schumacher,2021,-0.7011594982690371,1.956925919237784,18.19047619047619,16.90909090909091,4.545454545454546,-64.63238979759213
Robert Kubica,2021,0.6137450571330092,1.0515232384817312,18.5,14.5,0.0,-58.41526829561474
Nikita Mazepin,2021,0.7011594982690371,2.054460233827268,19.59090909090909,,13.636363636363637,
